epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4885.34,0.57709,0.72261,1.00655,0.90657,0.7197,0.81439,0.70088,0.6723,1.40921,1.08923,0.000990365,0.000990365,0.000990365
43,4962.69,0.58539,0.78843,1.00015,0.8357,0.80403,0.8439,0.73216,0.59025,1.26964,0.97646,0.000973861,0.000973861,0.000973861
44,5044.58,0.53651,0.70953,0.97097,0.85328,0.76713,0.76719,0.69965,0.53512,1.43229,0.95848,0.000957358,0.000957358,0.000957358
45,5130.02,0.53837,0.767,0.95156,0.75562,0.77914,0.74268,0.67563,0.5224,1.70393,0.9512,0.000940855,0.000940855,0.000940855
46,5209.02,0.60807,0.70066,1.00953,0.80235,0.73485,0.7352,0.6736,0.45383,1.67815,0.9389,0.000924352,0.000924352,0.000924352
47,5285.56,0.55087,0.70534,0.9948,0.69639,0.6875,0.68389,0.62271,0.46288,1.77847,0.93792,0.000907848,0.000907848,0.000907848
48,5361.29,0.5507,0.68803,0.97691,0.57554,0.67133,0.63274,0.57473,0.47118,1.85559,0.94711,0.000891345,0.000891345,0.000891345
49,5436.91,0.50774,0.65374,0.96271,0.65717,0.67941,0.68102,0.62282,0.44378,1.7219,0.92346,0.000874842,0.000874842,0.000874842
50,5511.19,0.55041,0.65037,0.95814,0.75758,0.8664,0.89713,0.82136,0.44623,1.03982,0.89438,0.000858338,0.000858338,0.000858338
51,5587.65,0.53995,0.66925,0.97122,0.86536,0.92163,0.94067,0.83719,0.50105,0.81363,0.9339,0.000841835,0.000841835,0.000841835
52,5664.51,0.54938,0.69846,0.97576,0.96165,0.84726,0.93506,0.85364,0.47101,0.78269,0.97412,0.000825332,0.000825332,0.000825332
53,5739.35,0.50947,0.62314,0.95008,0.98382,0.90592,0.95346,0.85399,0.43958,0.71031,0.93267,0.000808828,0.000808828,0.000808828
54,5818.56,0.49964,0.61238,0.93676,0.91879,0.9375,0.94563,0.85685,0.43734,0.66764,0.90879,0.000792325,0.000792325,0.000792325
55,5901.83,0.48419,0.6124,0.95852,0.91271,0.85082,0.9198,0.84419,0.41614,0.72896,0.89341,0.000775822,0.000775822,0.000775822
56,5978.38,0.52702,0.62825,0.97079,0.84261,0.9375,0.91864,0.84878,0.43253,0.72486,0.91892,0.000759318,0.000759318,0.000759318
57,6054.26,0.5042,0.54993,0.92724,0.86246,0.9292,0.9069,0.82895,0.44256,0.74456,0.94781,0.000742815,0.000742815,0.000742815
58,6137.45,0.493,0.59108,0.92364,0.87103,0.89205,0.93688,0.84331,0.47081,0.73855,0.95268,0.000726312,0.000726312,0.000726312
59,6214.55,0.44118,0.54166,0.91275,0.97351,0.75189,0.89261,0.79703,0.49376,0.8918,0.9549,0.000709809,0.000709809,0.000709809
60,6292.94,0.51104,0.6115,0.9765,0.94811,0.68939,0.78444,0.72944,0.45107,1.15531,0.93905,0.000693305,0.000693305,0.000693305
61,6374.56,0.50654,0.54493,0.93493,0.95401,0.73485,0.7622,0.70515,0.45869,1.26378,0.93529,0.000676802,0.000676802,0.000676802
62,6449.4,0.48954,0.55743,0.96893,0.95032,0.70455,0.78233,0.72278,0.45928,1.23906,0.92539,0.000660299,0.000660299,0.000660299
63,6524.78,0.50621,0.56192,0.94698,0.90796,0.75,0.79829,0.71944,0.5067,1.28178,0.98709,0.000643795,0.000643795,0.000643795
64,6601.04,0.4451,0.51534,0.92632,0.89078,0.80116,0.81211,0.71534,0.51531,1.4029,0.97933,0.000627292,0.000627292,0.000627292
65,6675.21,0.4934,0.54933,0.96345,0.94153,0.81235,0.80295,0.73829,0.45395,1.27515,0.94158,0.000610789,0.000610789,0.000610789
66,6750.95,0.43799,0.54237,0.93986,0.94165,0.79735,0.81616,0.75824,0.43861,1.09769,0.90869,0.000594286,0.000594286,0.000594286
67,6828.66,0.46864,0.50386,0.91293,0.93704,0.8125,0.84864,0.78089,0.46207,1.01788,0.90895,0.000577782,0.000577782,0.000577782
68,6902.57,0.45257,0.55038,0.92712,0.94047,0.80819,0.88908,0.80971,0.44563,0.95984,0.92487,0.000561279,0.000561279,0.000561279
69,6979.5,0.42111,0.50063,0.92838,0.95204,0.79735,0.86346,0.78109,0.48581,1.02598,0.96113,0.000544776,0.000544776,0.000544776
70,7060.44,0.45861,0.50347,0.9307,0.91409,0.80314,0.82979,0.75939,0.52782,1.19623,1.0107,0.000528272,0.000528272,0.000528272
71,7137.9,0.44457,0.51548,0.93048,0.91354,0.75,0.8147,0.73731,0.51344,1.22649,1.00309,0.000511769,0.000511769,0.000511769
72,7217.03,0.44459,0.53042,0.93286,0.79957,0.8125,0.82561,0.75795,0.49994,1.20655,0.99835,0.000495266,0.000495266,0.000495266
73,7292.11,0.44157,0.50158,0.95113,0.92186,0.80433,0.89351,0.82195,0.47509,1.0235,0.97247,0.000478762,0.000478762,0.000478762
74,7366.58,0.44529,0.48612,0.96542,0.94669,0.86591,0.93427,0.84105,0.48285,0.8569,0.95984,0.000462259,0.000462259,0.000462259
75,7442.81,0.43123,0.47716,0.93339,0.96629,0.86496,0.92687,0.83651,0.45275,0.82944,0.94909,0.000445756,0.000445756,0.000445756
76,7519.63,0.40235,0.48137,0.92253,0.97568,0.87089,0.95087,0.85754,0.41821,0.7713,0.93733,0.000429253,0.000429253,0.000429253
77,7592.74,0.41423,0.5088,0.92058,0.977,0.87174,0.94143,0.85617,0.41496,0.7099,0.9275,0.000412749,0.000412749,0.000412749
78,7667.13,0.40465,0.45492,0.90779,0.85152,0.875,0.9197,0.85327,0.43256,0.69584,0.92564,0.000396246,0.000396246,0.000396246
79,7743.92,0.48393,0.50358,0.94284,0.80766,0.93241,0.9175,0.83779,0.43126,0.67996,0.90914,0.000379743,0.000379743,0.000379743
80,7818.99,0.39156,0.44956,0.9129,0.8009,0.9375,0.91837,0.8356,0.43882,0.68746,0.91194,0.000363239,0.000363239,0.000363239
81,7899.53,0.41238,0.45602,0.93199,0.79604,0.9375,0.91596,0.84142,0.43486,0.7053,0.90491,0.000346736,0.000346736,0.000346736
82,7980.41,0.40347,0.47962,0.90386,0.81787,0.9375,0.91934,0.85743,0.40738,0.70047,0.89438,0.000330233,0.000330233,0.000330233
83,8063.18,0.41917,0.46836,0.89879,0.82966,0.93603,0.91985,0.84923,0.40615,0.66828,0.88,0.000313729,0.000313729,0.000313729
84,8141.81,0.40913,0.47753,0.93705,0.8223,0.9375,0.91865,0.85698,0.40039,0.66433,0.87493,0.000297226,0.000297226,0.000297226
85,8216.08,0.41239,0.47391,0.93392,0.87991,0.89717,0.92826,0.85041,0.40137,0.68017,0.88117,0.000280723,0.000280723,0.000280723
